Input;;;;;;;output;;;;;;;
File di input;Perc. Q.tà hub per gravità;Perc. Q.tà disponibile;Perc. Rimanenza;Q.tà disponibile;Spreco;Rimanenza;File di output;Num. Mezzi ;Funzione obiettivo;Efficacia Ae norm;Costi Kv norm;Efficacia Ae non norm;Costi Kv non norm;Tempo di esecuzione
I_50_16_16_16_1_20_5_.txt;50%16%16%16%;20%;5%;127588;1338;6379;O_50_16_16_16_1_20_5_.txt;4;227.121;4.27E-05;0.296054;6.79201;567.581;3.64154
I_50_16_16_16_1_20_10_.txt;50%16%16%16%;20%;10%;127588;1338;12758;O_50_16_16_16_1_20_10_.txt;4;237.856;4.27E-05;0.301092;6.79201;594.418;3.46854
I_50_16_16_16_2_5_2_.txt;50%16%16%16%;5%;2%;151511;1588;3030;O_50_16_16_16_2_5_2_.txt;4;253.204;5.62E-05;0.326527;9.86048;632.857;4.20358
I_50_16_16_16_2_5_5_.txt;50%16%16%16%;5%;5%;151511;1588;7575;O_50_16_16_16_2_5_5_.txt;4;234.397;5.62E-05;0.296804;9.86048;585.841;4.19891
I_50_16_16_16_2_5_10_.txt;50%16%16%16%;5%;10%;151511;1588;15151;O_50_16_16_16_2_5_10_.txt;4;232.893;5.62E-05;0.30556;9.86048;582.079;4.11887
I_50_16_16_16_2_10_2_.txt;50%16%16%16%;10%;2%;143537;1505;2870;O_50_16_16_16_2_10_2_.txt;4;220.982;5.03E-05;0.289454;8.82009;552.284;4.0756
I_50_16_16_16_2_10_5_.txt;50%16%16%16%;10%;5%;143537;1505;7176;O_50_16_16_16_2_10_5_.txt;4;239.58;5.03E-05;0.322665;8.82009;598.779;3.98895
I_50_16_16_16_2_10_10_.txt;50%16%16%16%;10%;10%;143537;1505;14353;O_50_16_16_16_2_10_10_.txt;4;238.782;5.03E-05;0.308134;8.82009;596.784;4.07062
I_50_16_16_16_2_20_2_.txt;50%16%16%16%;20%;2%;127588;1338;2551;O_50_16_16_16_2_20_2_.txt;4;246.071;4.00E-05;0.313537;7.02206;614.964;3.67181
I_50_16_16_16_2_20_5_.txt;50%16%16%16%;20%;5%;127588;1338;6379;O_50_16_16_16_2_20_5_.txt;4;227.192;4.00E-05;0.297911;7.02206;567.767;3.69208
I_50_16_16_16_2_20_10_.txt;50%16%16%16%;20%;10%;127588;1338;12758;O_50_16_16_16_2_20_10_.txt;4;222.205;4.00E-05;0.282465;7.02206;555.299;3.67355
I_50_16_16_16_3_5_2_.txt;50%16%16%16%;5%;2%;151511;1588;3030;O_50_16_16_16_3_5_2_.txt;4;226.199;5.62E-05;0.294637;9.86048;565.347;5.01234
I_50_16_16_16_3_5_5_.txt;50%16%16%16%;5%;5%;151511;1588;7575;O_50_16_16_16_3_5_5_.txt;4;216.521;5.62E-05;0.294131;9.86048;541.151;6.74795
I_50_16_16_16_3_5_10_.txt;50%16%16%16%;5%;10%;151511;1588;15151;O_50_16_16_16_3_5_10_.txt;4;222.579;5.62E-05;0.302001;9.86048;556.296;5.01992
I_50_16_16_16_3_10_2_.txt;50%16%16%16%;10%;2%;143537;2218;2870;O_50_16_16_16_3_10_2_.txt;4;226.809;5.03E-05;0.304128;8.82009;566.852;5.72697
